etID  | Input | Balkan Romance | Common Romanian | Output {GOLD}
0      | #ˈaː# | *#ˈa# | *#ˈa# | *#ˈa# {GOLD: #ˈa#}
1      | #ˌabellˈoːnam# | *#aellˈona# | *#aelˈunə# | *#alˈunə# {GOLD: #alˈunə#}
2      | #ˈad# | *#ˈa# | *#ˈa# | *#ˈa# {GOLD: #ˈa#}
3      | #ˌadˌakwˈaː# | *#adapˈa# | *#adəpˈa# | *#adəpˈa# {GOLD: #adəpˈa#}
4      | #ˌadˌappˈositum# | *#adapˈostu# | *#adəpˈostu# | *#adəpˈost# {GOLD: #adəpˈost#}
5      | #ˌadˌastˈaː# | *#adastˈa# | *#adəstˈa# | *#adəstˈa# {GOLD: #adəstˈa#}
6      | #ˌadˌawɡˈaː# | *#adaɡˈa# | *#adəɡˈa# | *#adəɡˈa# {GOLD: #adəuɡˈa#}
7      | #ˌaddˌewˈeːrum# | *#adevˈeru# | *#adevˈeɾu# | *#adevˈər# {GOLD: #adevˈər#}
8      | #ˌadˌidˈipsum# | *#adedˈesu# | *#adedˈesu# | *#adedˈes# {GOLD: #adˈins#}
9      | #ˌadiˈuːnɡe# | *#ad͡ʒˈund͡ʒe# | *#ad͡ʒˈund͡ʒe# | *#aʒˈund͡ʒe# {GOLD: #aʒˈund͡ʒe#}
10     | #ˌadiˌuːtˈaː# | *#ad͡ʒutˈa# | *#ad͡ʒutˈa# | *#aʒutˈa# {GOLD: #aʒutˈa#}
11     | #ˌadiˌuːtˈoːrium# | *#ad͡ʒutˈojru# | *#ad͡ʒutˈojɾu# | *#aʒutˈor# {GOLD: #aʒutˈor#}
12     | #ˌadlˈatera# | *#adlˈatera# | *#alˈateɾə# | *#alˈatirə# {GOLD: #alˈəturj#}
13     | #ˌadlˈeɡe# | *#adlˈɛd͡ʒe# | *#aʎe̯ˈad͡ʒe# | *#ajˈed͡ʒe# {GOLD: #alˈed͡ʒe#}
14     | #ˌadlˌenitˈaː# | *#adlenetˈa# | *#alenetˈa# | *#alinətˈa# {GOLD: #alintˈa#}
15     | #ˌadlˌonɡˈaː# | *#adlonɡˈa# | *#alunɡˈa# | *#alunɡˈa# {GOLD: #alunɡˈa#}
16     | #ˌadmˌaɡˈiː# | *#admad͡ʒˈi# | *#aməd͡ʒˈi# | *#aməd͡ʒˈi# {GOLD: #amad͡ʒˈi#}
17     | #ˌadmˌiːnakiˈaː# | *#adminat͡ʃˈa# | *#amjinət͡ʃˈa# | *#aminənt͡sˈa# {GOLD: #amenint͡sˈa#}
18     | #ˌadnˌinˈaː# | *#adnenˈa# | *#anenˈa# | *#aninˈa# {GOLD: #aninˈa#}
19     | #ˌadˌoliˈaː# | *#adoljˈa# | *#adoʎˈa# | *#adojˈa# {GOLD: #adiˈa#}
20     | #ˌaddˌormˈiː# | *#adormˈi# | *#adoɾmˈi# | *#adormˈi# {GOLD: #adormˈi#}
21     | #ˌadplˌikˈaː# | *#adplekˈa# | *#aplekˈa# | *#aplekˈa# {GOLD: #aplekˈa#}
22     | #ˌadpˈoːne# | *#adpˈone# | *#apˈune# | *#apˈune# {GOLD: #apˈune#}
23     | #ˌadpˈost# | *#adpˈoj# | *#apˈoj# | *#apˈoj# {GOLD: #apˈoj#}
24     | #ˌadprˌehˈende# | *#adprjˈɛnde# | *#apɾjˈende# | *#aprˈinde# {GOLD: #aprˈinde#}
25     | #ˌadprˈope# | *#adprˈope# | *#apɾo̯ˈape# | *#apro̯ˈapə# {GOLD: #apro̯ˈape#}
26     | #ˌaddˈuːke# | *#adˈut͡ʃe# | *#adˈut͡ʃe# | *#adˈut͡ʃe# {GOLD: #adˈut͡ʃe#}
27     | #ˌadˌumbrˈaː# | *#adumbrˈa# | *#adumbɾˈa# | *#adumbrˈa# {GOLD: #adumbrˈi#}
28     | #ˌadˌunkˈaː# | *#adunkˈa# | *#adɨnkˈa# | *#adɨnkˈa# {GOLD: #adɨnkˈa#}
29     | #ˌadˈunkum# | *#adˈunku# | *#adˈunku# | *#adˈunk# {GOLD: #adˈɨnk#}
30     | #ˈaːeːr# | *#ˈaer# | *#ˈaeɾ# | *#ˈaer# {GOLD: #ˈaer#}
31     | #ˌae̯rˈɑmen# | *#arˈame# | *#aɾˈəme# | *#arˈəme# {GOLD: #arˈamə#}
32     | #ˌafflˈaː# | *#aflˈa# | *#aflˈa# | *#aflˈa# {GOLD: #aflˈa#}
33     | #ˌaɡɡˈestum# | *#ad͡ʒˈɛstu# | *#ad͡ʒˈestu# | *#ad͡ʒˈest# {GOLD: #ad͡ʒˈest#}
34     | #ˈaɡilem# | *#ˈad͡ʒele# | *#ˈad͡ʒeɾe# | *#ˈad͡ʒerə# {GOLD: #ˈad͡ʒer#}
35     | #ˌaɡurˈaː# | *#aɡurˈa# | *#aɡuɾˈa# | *#aɡurˈa# {GOLD: #aɡurˈa#}
